id,name,wkt
135,25162,"POLYGON((529216.664 5074030.0,529216.035 5074028.0,529153.901 5074024.0,529140.942 5074071.0,529148.268 5074075.0,529216.664 5074030.0))"
136,25163,"POLYGON((529183.788 5073971.0,529180.871 5073965.0,529151.244 5073952.0,529084.244 5073978.0,529088.373 5073989.0,529094.781 5073998.0,529107.035 5074005.0,529183.788 5073971.0))"
137,25164,"POLYGON((529181.23 5073950.0,529155.623 5073918.0,529141.134 5073942.0,529151.244 5073952.0,529180.871 5073965.0,529181.23 5073950.0))"
138,25247,"POLYGON((529235.361 5073773.13,529220.72 5073778.0,529202.308 5073803.0,529186.969 5073844.0,529186.046 5073861.0,529190.923 5073882.0,529208.983 5073890.0))"
139,25255,"POLYGON((529270.256 5073295.0,529233.319 5073421.0,529257.739 5073490.0,529283.735 5073526.0,529286.869 5073516.0,529296.869 5073496.0,529296.869 5073446.0,529290.869 5073441.0,529286.869 5073441.0,529286.869 5073438.0,529284.869 5073436.0,529281.869 5073436.0,529281.869 5073434.0,529278.869 5073431.0,529276.869 5073431.0,529276.869 5073430.0,529272.869 5073426.0,529271.869 5073426.0,529271.869 5073425.0,529266.869 5073421.0,529266.869 5073406.0,529281.869 5073331.0,529281.869 5073306.0,529276.869 5073301.0,529271.869 5073296.0,529270.256 5073295.0))"
140,25318,"POLYGON((529152.118 5072207.354,529128.717 5072259.773,529124.754 5072269.0,529135.411 5072281.0,529162.415 5072284.11))"
141,25319,"POLYGON((529139.013 5072154.0,529091.761 5072238.0,529107.62 5072258.0,529124.754 5072269.0,529151.182 5072210.162))"
142,25320,"POLYGON((529118.216 5072111.626,529069.15 5072210.0,529085.364 5072235.0,529091.761 5072238.0,529138.077 5072149.32))"
143,25321,"POLYGON((529109.217 5072090.324,529091.249 5072069.378,529059.51 5072099.0,529040.445 5072169.0,529060.72 5072208.0,529069.15 5072210.0,529117.265 5072110.445))"
144,25322,"POLYGON((529060.72 5072208.0,529040.445 5072169.0,529022.008 5072187.697,529043.537 5072215.779,529060.72 5072208.0))"
145,25323,"POLYGON((529085.364 5072235.0,529069.15 5072210.0,529060.72 5072208.0,529042.601 5072216.715,529055.706 5072242.924,529085.364 5072235.0))"
146,25324,"POLYGON((529106.98 5072256.347,529091.761 5072238.0,529085.364 5072235.0,529055.706 5072243.86,529064.13 5072272.877,529107.62 5072258.0))"
